Year,Low prices (kr/kWh),Normal prices (kr/kWh),High prices (kr/kWh)
2020,0.49,0.48,0.48
2021,0.51,0.51,0.53
2022,0.52,0.55,0.57
2023,0.52,0.57,0.64
2024,0.53,0.59,0.66
2025,0.54,0.62,0.7
2026,0.54,0.66,0.75
2027,0.55,0.67,0.78
2028,0.56,0.7,0.83
2029,0.58,0.73,0.87
2030,0.59,0.76,0.93
2031,0.6,0.79,0.96
2032,0.6,0.81,1.02
2033,0.59,0.8,1.02
2034,0.59,0.77,1.0
2035,0.59,0.77,0.97
2036,0.58,0.78,0.94
2037,0.57,0.77,0.97
2038,0.56,0.76,0.9
2039,0.56,0.75,0.88
2040,0.54,0.72,0.88
2041,0.54,0.7,0.9
2042,0.52,0.69,0.86
2043,0.53,0.69,0.84
2044,0.52,0.69,0.83
2045,0.51,0.68,0.82
2046,0.51,0.66,0.81
2047,0.49,0.64,0.8
2048,0.5,0.63,0.76
2049,0.48,0.61,0.75
2050,0.48,0.6,0.76
2051,0.47,0.59,0.72
2052,0.46,0.59,0.74
2053,0.45,0.57,0.7
2054,0.44,0.57,0.68
2055,0.44,0.57,0.7
2056,0.43,0.55,0.68
2057,0.43,0.54,0.67
2058,0.41,0.54,0.61
2059,0.41,0.51,0.63
2060,0.4,0.51,0.57
